timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
1,0.01,40.6833,-75.28803,108.5045,21.53,271.1804,6,5,1422118166,0.01773071,0.1218109,-1.053391,24.86165,12.82698,-22.99747,281.424,293.784,25,-0.03811356,-0.03207272,-0.05777781,0.3841676,-0.01549935,-0.0720685,-0.002645021,0.0001107333,-0.003367873,0.07028332,0.01095591,0.04010055
2,0.02,40.6833,-75.28803,108.5045,21.53,271.1804,6,5,1422118166,0.01773071,0.1218109,-1.053391,24.86165,12.82698,-22.99747,281.424,293.784,25,-0.03811356,-0.03207272,-0.05777781,0.3841676,-0.01549935,-0.0720685,-0.002645021,0.0001107333,-0.003367873,0.07028332,0.01095591,0.04010055
3,0.03,40.6833,-75.28803,108.5045,21.53,271.1804,6,5,1422118166,-0.001586914,0.07524109,-1.057617,24.79088,13.39319,-23.33844,282.2432,294.6032,25,-0.01006435,-0.02523532,-0.06374489,0.3843811,-0.0131715,-0.07283611,-0.04039887,-0.01066359,0.001324711,0.07349997,0.02020008,-0.05832566
4,0.04,40.6833,-75.28803,108.5045,21.53,271.1804,6,5,1422118166,-0.02879333,0.0231781,-1.03006,24.79088,13.39319,-23.33844,282.2432,294.6032,25,0.03290122,-0.03893062,-0.04851108,0.3843811,-0.0131715,-0.07283611,-0.04039887,-0.01066359,0.001324711,0.07349997,0.02020008,-0.05832566
5,0.05,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.02879333,0.0231781,-1.03006,24.79088,13.39319,-23.33844,282.2432,294.6032,25,0.03290122,-0.03893062,-0.04851108,0.3843811,-0.0131715,-0.07283611,-0.04039887,-0.01066359,0.001324711,0.07349997,0.02020008,-0.05832566
6,0.06,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.01759338,0.1141357,-1.02829,25.07394,13.46397,-23.27023,282.2912,294.6512,25,0.0111187,-0.05181073,-0.04735021,0.3845699,-0.01369209,-0.0725654,0.02726701,-0.03488785,0.01194954,-0.01513771,-0.04932363,-0.03278502
7,0.07,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.008239746,0.08494568,-1.098679,24.57859,13.6763,-23.54309,282.8963,295.2563,25,0.002625078,-0.05450079,-0.04985518,0.3846301,-0.01497022,-0.07229275,0.00883408,-0.03040679,0.01175143,-0.002662826,0.04190595,-0.03101354
8,0.08,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.00189209,0.07757568,-1.00177,24.57859,13.6763,-23.54309,282.8963,295.2563,25,-0.002406166,-0.04721492,-0.04996436,0.3847649,-0.01533809,-0.07225785,0.000340466,-0.03309689,0.009246337,0.007057718,0.0127507,-0.1014054
9,0.09,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.02862549,0.03396606,-0.9453888,24.29553,13.74707,-23.40665,283.3669,295.7269,25,0.009437976,-0.02960077,-0.04265239,0.3848633,-0.01561056,-0.07231018,-0.004690773,-0.02581107,0.009137018,0.01746123,0.005328503,-0.004504785
10,0.09999999,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.02793884,0.005310059,-0.9844971,24.29553,13.74707,-23.40665,283.3669,295.7269,25,0.009437976,-0.02960077,-0.04265239,0.3848633,-0.01561056,-0.07231018,-0.004690773,-0.02581107,0.009137018,0.01746123,0.005328503,-0.004504785
